Daily,Closing Price
3-Feb-20,156.2
31-Jan-20,163.35
30-Jan-20,164.99
29-Jan-20,163.6
28-Jan-20,168.5
27-Jan-20,169.55
24-Jan-20,169
23-Jan-20,170
22-Jan-20,167.99
21-Jan-20,167.7
20-Jan-20,168.49
17-Jan-20,170.99
16-Jan-20,170.5
15-Jan-20,171
14-Jan-20,170.5
13-Jan-20,169.99
10-Jan-20,169
9-Jan-20,168.4
8-Jan-20,161.5
7-Jan-20,167
6-Jan-20,161.49
3-Jan-20,163.3
2-Jan-20,168.01
1-Jan-20,163.5
31-Dec-19,158.8
30-Dec-19,159.5
27-Dec-19,162
26-Dec-19,163.5
24-Dec-19,158
23-Dec-19,157
20-Dec-19,161.95
19-Dec-19,161
18-Dec-19,165
17-Dec-19,165
16-Dec-19,160.4
13-Dec-19,156.5
12-Dec-19,154.75
11-Dec-19,153
10-Dec-19,152.5
9-Dec-19,152.61
6-Dec-19,155.1
5-Dec-19,156.9
4-Dec-19,155.11
3-Dec-19,153.1
2-Dec-19,153.75
29-Nov-19,146.43
28-Nov-19,142
27-Nov-19,141
26-Nov-19,140.2
25-Nov-19,139.95
22-Nov-19,137
21-Nov-19,134.55
20-Nov-19,136.5
19-Nov-19,142.45
18-Nov-19,140.5
15-Nov-19,141.77
14-Nov-19,140.1
13-Nov-19,141
12-Nov-19,137.62
11-Nov-19,138.5
8-Nov-19,135.42
7-Nov-19,133.99
6-Nov-19,134.5
5-Nov-19,134.15
4-Nov-19,134.06
1-Nov-19,129
31-Oct-19,127.5
30-Oct-19,127
29-Oct-19,128
28-Oct-19,128
25-Oct-19,126
24-Oct-19,128
23-Oct-19,127
22-Oct-19,126.5
21-Oct-19,126
18-Oct-19,128
17-Oct-19,131
16-Oct-19,132.6
15-Oct-19,133.95
14-Oct-19,133.4
11-Oct-19,135.3
10-Oct-19,131.4
9-Oct-19,129.4
8-Oct-19,128.01
7-Oct-19,126.5
4-Oct-19,126
3-Oct-19,126
2-Oct-19,124.4
1-Oct-19,118.6
30-Sep-19,117.9
27-Sep-19,119.05
26-Sep-19,115.05
25-Sep-19,118.12
24-Sep-19,119.35
23-Sep-19,120.89
20-Sep-19,122.55
19-Sep-19,124.95
18-Sep-19,122.1
17-Sep-19,124
16-Sep-19,121.11
13-Sep-19,118.96
12-Sep-19,123
11-Sep-19,122
6-Sep-19,116.9
5-Sep-19,111.5
4-Sep-19,110.98
3-Sep-19,110.11
2-Sep-19,111.44
30-Aug-19,109.57
29-Aug-19,111
28-Aug-19,113.05
27-Aug-19,112.97
26-Aug-19,116.5
23-Aug-19,118
22-Aug-19,121
21-Aug-19,119.25
20-Aug-19,117.02
19-Aug-19,111.45
16-Aug-19,106.15
9-Aug-19,106.5
8-Aug-19,110.3
7-Aug-19,113.5
6-Aug-19,117
5-Aug-19,115.4
2-Aug-19,117.5
1-Aug-19,120
31-Jul-19,120.05
30-Jul-19,119.3
29-Jul-19,120
26-Jul-19,120.25
25-Jul-19,121.44
24-Jul-19,119
23-Jul-19,122.05
22-Jul-19,121.07
19-Jul-19,118.84
18-Jul-19,117.01
17-Jul-19,122
16-Jul-19,121
15-Jul-19,118.95
12-Jul-19,119
11-Jul-19,119
10-Jul-19,116
9-Jul-19,115.21
8-Jul-19,114.76
5-Jul-19,118.75
4-Jul-19,120.25
3-Jul-19,120.24
2-Jul-19,117.15
1-Jul-19,115.74
28-Jun-19,113.26
27-Jun-19,114.5
26-Jun-19,116.62
25-Jun-19,119.4
24-Jun-19,120.75
21-Jun-19,121.5
20-Jun-19,122.7
19-Jun-19,121.91
18-Jun-19,122.75
17-Jun-19,123.25
14-Jun-19,123.76
13-Jun-19,124.45
12-Jun-19,124.55
11-Jun-19,123
10-Jun-19,123.53
3-Jun-19,127.42
30-May-19,123.51
29-May-19,124.8
28-May-19,123.3
27-May-19,126.8
24-May-19,126.27
23-May-19,127.13
22-May-19,125.05
21-May-19,119.57
20-May-19,121.98
17-May-19,119
16-May-19,119.41
15-May-19,122.65
14-May-19,123.5
13-May-19,124
10-May-19,123.4
9-May-19,124.75
8-May-19,126
7-May-19,128.36
6-May-19,122
3-May-19,122.44
2-May-19,126.48
30-Apr-19,127.32
29-Apr-19,128.5
26-Apr-19,127.15
25-Apr-19,126.92
24-Apr-19,122.22
23-Apr-19,121.5
22-Apr-19,123.4
19-Apr-19,127.1
18-Apr-19,123.81
17-Apr-19,121.28
16-Apr-19,128.5
15-Apr-19,128.01
12-Apr-19,126.99
11-Apr-19,123.7
10-Apr-19,122.74
9-Apr-19,124.27
8-Apr-19,124.5
5-Apr-19,124.65
4-Apr-19,124.7
3-Apr-19,126.6
2-Apr-19,128.57
1-Apr-19,132.3
29-Mar-19,132.5
28-Mar-19,133.21
27-Mar-19,135.99
26-Mar-19,136.25
25-Mar-19,135.99
22-Mar-19,136
21-Mar-19,135.93
20-Mar-19,135.11
19-Mar-19,134.95
18-Mar-19,137.5
15-Mar-19,132.89
14-Mar-19,135.03
13-Mar-19,135.03
12-Mar-19,134.21
11-Mar-19,136.2
8-Mar-19,136
7-Mar-19,136.55
6-Mar-19,136.52
5-Mar-19,136.51
4-Mar-19,138.03
1-Mar-19,135.53
28-Feb-19,131.43
27-Feb-19,130.25
26-Feb-19,128
25-Feb-19,130.09
22-Feb-19,133.68
21-Feb-19,135.13
20-Feb-19,139.36
19-Feb-19,137.9
18-Feb-19,140.52
15-Feb-19,140.93
14-Feb-19,140.61
13-Feb-19,139.98
12-Feb-19,139.91
11-Feb-19,142.13
8-Feb-19,145.72
7-Feb-19,148.49
6-Feb-19,149.8
4-Feb-19,151.98
1-Feb-19,150.83
31-Jan-19,149.1
30-Jan-19,149
29-Jan-19,149
28-Jan-19,149.5
25-Jan-19,149
24-Jan-19,148.11
23-Jan-19,144.67
22-Jan-19,141.75
21-Jan-19,138.1
18-Jan-19,134
17-Jan-19,135.49
16-Jan-19,134.51
15-Jan-19,134.52
14-Jan-19,134.25
11-Jan-19,132.93
10-Jan-19,132
9-Jan-19,132
8-Jan-19,130.42
7-Jan-19,129.75
4-Jan-19,126
3-Jan-19,123.51
2-Jan-19,122.61
1-Jan-19,123.97
31-Dec-18,118
28-Dec-18,120.25
27-Dec-18,122.56
26-Dec-18,124.61
24-Dec-18,124.51
21-Dec-18,124.02
20-Dec-18,124.79
19-Dec-18,125.48
18-Dec-18,125.01
17-Dec-18,127.81
14-Dec-18,131.5
13-Dec-18,130
12-Dec-18,130.17
11-Dec-18,134.2
10-Dec-18,136.05
7-Dec-18,132.3
6-Dec-18,132.5
5-Dec-18,136.01
4-Dec-18,138
3-Dec-18,134.41
30-Nov-18,139.86
29-Nov-18,142.61
28-Nov-18,140.7
27-Nov-18,142.5
26-Nov-18,139.4
23-Nov-18,137
22-Nov-18,136.46
20-Nov-18,142.35
19-Nov-18,142.5
16-Nov-18,144.65
15-Nov-18,146
14-Nov-18,139.11
13-Nov-18,138
12-Nov-18,137.56
9-Nov-18,139.1
8-Nov-18,140.25
7-Nov-18,143.5
6-Nov-18,141.89
5-Nov-18,145.42
2-Nov-18,147.14
1-Nov-18,144.34
31-Oct-18,144
30-Oct-18,144
29-Oct-18,138.36
26-Oct-18,131.9
25-Oct-18,125.62
24-Oct-18,131.35
23-Oct-18,125
22-Oct-18,129.01
19-Oct-18,127.1
18-Oct-18,128
17-Oct-18,129.51
16-Oct-18,127.6
15-Oct-18,131
12-Oct-18,132
11-Oct-18,133.31
10-Oct-18,137.88
9-Oct-18,136.8
8-Oct-18,134.95
5-Oct-18,142.05
4-Oct-18,144.26
3-Oct-18,148.5
2-Oct-18,149.1
1-Oct-18,151.02
28-Sep-18,151.37
27-Sep-18,147.38
26-Sep-18,146.86
25-Sep-18,148
24-Sep-18,148.44
19-Sep-18,146.67
18-Sep-18,145.46
17-Sep-18,143.24
14-Sep-18,145
13-Sep-18,147.45
12-Sep-18,146.39
11-Sep-18,147
10-Sep-18,147.49
7-Sep-18,151.7
6-Sep-18,154.5
5-Sep-18,152.5
4-Sep-18,152
3-Sep-18,151
31-Aug-18,150.6
30-Aug-18,151.52
29-Aug-18,153.5
28-Aug-18,153.61
27-Aug-18,153.49
24-Aug-18,152.99
20-Aug-18,154
17-Aug-18,151.51
16-Aug-18,151.99
15-Aug-18,156.11
13-Aug-18,158.05
10-Aug-18,160.65
9-Aug-18,160.99
8-Aug-18,161
7-Aug-18,160.79
6-Aug-18,162.52
3-Aug-18,162.05
2-Aug-18,167.29
1-Aug-18,175.81
31-Jul-18,177.5
30-Jul-18,184.8
27-Jul-18,179.66
26-Jul-18,171.65
24-Jul-18,169
23-Jul-18,167.06
20-Jul-18,170.71
19-Jul-18,174.88
18-Jul-18,170.01
17-Jul-18,163.6
